X,CH1,CH2,
-4.11351e-01,1.60e-02,2.18e+00,
-4.11277e-01,1.60e-02,2.20e+00,
-4.11204e-01,1.60e-02,2.20e+00,
-4.11131e-01,1.60e-02,2.18e+00,
-4.11058e-01,1.60e-02,2.20e+00,
-4.10984e-01,2.40e-02,2.22e+00,
-4.10911e-01,2.40e-02,2.20e+00,
-4.10838e-01,1.60e-02,2.20e+00,
-4.10765e-01,3.20e-02,2.20e+00,
-4.10691e-01,1.60e-02,2.20e+00,
-4.10618e-01,2.40e-02,2.18e+00,
-4.10545e-01,2.40e-02,2.18e+00,
-4.10472e-01,2.40e-02,2.20e+00,
-4.10398e-01,2.40e-02,2.20e+00,
-4.10325e-01,1.60e-02,2.20e+00,
-4.10252e-01,2.40e-02,2.20e+00,
-4.10179e-01,3.20e-02,2.20e+00,
-4.10105e-01,2.40e-02,2.22e+00,
-4.10032e-01,3.20e-02,2.20e+00,
-4.09959e-01,2.40e-02,2.20e+00,
-4.09886e-01,3.20e-02,2.20e+00,
-4.09813e-01,2.40e-02,2.20e+00,
-4.09739e-01,3.20e-02,2.20e+00,
-4.09666e-01,2.40e-02,2.20e+00,
-4.09593e-01,2.40e-02,2.20e+00,
